invasive,woody_species_percentage,water_sources,seed_type,years_since_prescribed_burn,result,$id,$createdAt,$updatedAt,$permissions,$databaseId,$collectionId
"['KR', 'JG']",28.9,river,['native_grass'],22,Fall,6726a53145672d425241,2024-11-02T22:18:25.285+00:00,2024-11-02T22:18:25.285+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],8.7,none,"['wildflower', 'native_grass']",7,Fall,6726a5317a3b20d9037c,2024-11-02T22:18:25.501+00:00,2024-11-02T22:18:25.501+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",41,none,"['native_grass', 'wildflower']",2,Fall,6726a532008be20dd7bf,2024-11-02T22:18:26.003+00:00,2024-11-02T22:18:26.003+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",16.6,none,"['native_grass', 'wildflower']",3,Fall,6726a5323ed867e8f03e,2024-11-02T22:18:26.258+00:00,2024-11-02T22:18:26.258+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],36.8,none,"['native_grass', 'wildflower']",19,Spring,6726a53277c0d9da5a93,2024-11-02T22:18:26.491+00:00,2024-11-02T22:18:26.491+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],26.2,none,['native_grass'],25,Fall,6726a532af2ae065ba7f,2024-11-02T22:18:26.718+00:00,2024-11-02T22:18:26.718+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",13.2,none,['native_grass'],11,Fall,6726a532ea492bc060a1,2024-11-02T22:18:26.960+00:00,2024-11-02T22:18:26.960+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],33.4,none,"['native_grass', 'wildflower']",14,Spring,6726a533306a7a14155d,2024-11-02T22:18:27.199+00:00,2024-11-02T22:18:27.199+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",15.9,lake,['wildflower'],20,Spring,6726a5336f6825440274,2024-11-02T22:18:27.456+00:00,2024-11-02T22:18:27.456+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],35.9,spring,"['wildflower', 'native_grass']",22,Spring,6726a533eadb7ca3448a,2024-11-02T22:18:27.962+00:00,2024-11-02T22:18:27.962+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",25.2,none,['wildflower'],23,Spring,6726a534310199a53af9,2024-11-02T22:18:28.201+00:00,2024-11-02T22:18:28.201+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",43.1,spring,"['wildflower', 'native_grass']",8,Spring,6726a5346cddafbf2bea,2024-11-02T22:18:28.446+00:00,2024-11-02T22:18:28.446+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",22.9,river,"['wildflower', 'native_grass']",18,Fall,6726a534b1eb67dc253c,2024-11-02T22:18:28.729+00:00,2024-11-02T22:18:28.729+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",48.9,lake,"['native_grass', 'wildflower']",24,Fall,6726a534e7a47d4fe814,2024-11-02T22:18:28.949+00:00,2024-11-02T22:18:28.949+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],43.5,none,"['native_grass', 'wildflower']",12,Spring,6726a5352b03057ba65b,2024-11-02T22:18:29.176+00:00,2024-11-02T22:18:29.176+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],14.9,none,['native_grass'],22,Fall,6726a53568cb0abaa56a,2024-11-02T22:18:29.429+00:00,2024-11-02T22:18:29.429+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",17.2,none,['wildflower'],10,Spring,6726a535a299ef48700e,2024-11-02T22:18:29.666+00:00,2024-11-02T22:18:29.666+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],6.2,none,['native_grass'],9,Spring,6726a535dda9b645599e,2024-11-02T22:18:29.908+00:00,2024-11-02T22:18:29.908+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",16.4,none,['native_grass'],7,Spring,6726a53622513c4f36de,2024-11-02T22:18:30.141+00:00,2024-11-02T22:18:30.141+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],27.7,spring,"['native_grass', 'wildflower']",2,Fall,6726a53657dd24273979,2024-11-02T22:18:30.360+00:00,2024-11-02T22:18:30.360+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",33,spring,['wildflower'],15,Fall,6726a5368f87659ca990,2024-11-02T22:18:30.588+00:00,2024-11-02T22:18:30.588+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],7,none,"['native_grass', 'wildflower']",3,Fall,6726a536cb8f1067c965,2024-11-02T22:18:30.834+00:00,2024-11-02T22:18:30.834+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",30.3,river,['native_grass'],3,Fall,6726a5370e56cc3c45f3,2024-11-02T22:18:31.059+00:00,2024-11-02T22:18:31.059+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",38.4,lake,"['native_grass', 'wildflower']",24,Fall,6726a5374d80c007a4be,2024-11-02T22:18:31.318+00:00,2024-11-02T22:18:31.318+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",47.7,river,"['wildflower', 'native_grass']",3,Spring,6726a5378a6f1bdff87a,2024-11-02T22:18:31.567+00:00,2024-11-02T22:18:31.567+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],41.6,lake,['native_grass'],7,Spring,6726a537c414dec50b94,2024-11-02T22:18:31.804+00:00,2024-11-02T22:18:31.804+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",24.2,river,['wildflower'],1,Fall,6726a5380be76f1cc67f,2024-11-02T22:18:32.049+00:00,2024-11-02T22:18:32.049+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],49.1,river,"['native_grass', 'wildflower']",23,Fall,6726a5384197bca55d9e,2024-11-02T22:18:32.269+00:00,2024-11-02T22:18:32.269+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",27.5,river,['wildflower'],18,Spring,6726a5388acb3532ae00,2024-11-02T22:18:32.569+00:00,2024-11-02T22:18:32.569+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",33.3,river,['native_grass'],16,Spring,6726a538c809674f3d2d,2024-11-02T22:18:32.820+00:00,2024-11-02T22:18:32.820+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",8.7,spring,['native_grass'],15,Spring,6726a5390b5e01695aba,2024-11-02T22:18:33.047+00:00,2024-11-02T22:18:33.047+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],35.5,lake,"['wildflower', 'native_grass']",1,Fall,6726a5393de09c3c1929,2024-11-02T22:18:33.254+00:00,2024-11-02T22:18:33.254+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",8.6,spring,['wildflower'],2,Fall,6726a539782a95b3f640,2024-11-02T22:18:33.492+00:00,2024-11-02T22:18:33.492+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",9.1,lake,"['native_grass', 'wildflower']",10,Fall,6726a539b07b0355ac74,2024-11-02T22:18:33.723+00:00,2024-11-02T22:18:33.723+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",17.8,spring,['native_grass'],20,Fall,6726a539e76bd1a05673,2024-11-02T22:18:33.948+00:00,2024-11-02T22:18:33.948+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",19.7,lake,['native_grass'],15,Fall,6726a53a2f1ec8742c28,2024-11-02T22:18:34.194+00:00,2024-11-02T22:18:34.194+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],32,spring,"['wildflower', 'native_grass']",22,Spring,6726a53a6b7c26b79c1a,2024-11-02T22:18:34.441+00:00,2024-11-02T22:18:34.441+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],23.8,spring,"['native_grass', 'wildflower']",24,Fall,6726a53aa6b605012740,2024-11-02T22:18:34.683+00:00,2024-11-02T22:18:34.683+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],32.9,none,"['native_grass', 'wildflower']",12,Fall,6726a53adc79795fd954,2024-11-02T22:18:34.903+00:00,2024-11-02T22:18:34.903+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",42.5,spring,['native_grass'],12,Spring,6726a53b243eff6ecb6e,2024-11-02T22:18:35.149+00:00,2024-11-02T22:18:35.149+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],49.3,none,"['native_grass', 'wildflower']",0,Fall,6726a578eab26309f9ee,2024-11-02T22:19:36.961+00:00,2024-11-02T22:19:36.961+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],26,spring,"['native_grass', 'wildflower']",23,Spring,6726a579333d1175d873,2024-11-02T22:19:37.210+00:00,2024-11-02T22:19:37.210+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],49.9,spring,"['wildflower', 'native_grass']",11,Fall,6726a57972f7f46cce97,2024-11-02T22:19:37.471+00:00,2024-11-02T22:19:37.471+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],30.7,none,"['wildflower', 'native_grass']",11,Fall,6726a579a8fc5a6dd0d9,2024-11-02T22:19:37.692+00:00,2024-11-02T22:19:37.692+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",26.3,river,"['native_grass', 'wildflower']",6,Spring,6726a579ed805cca833d,2024-11-02T22:19:37.973+00:00,2024-11-02T22:19:37.973+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],8.8,none,"['native_grass', 'wildflower']",1,Fall,6726a57a2c83f02c18fa,2024-11-02T22:19:38.182+00:00,2024-11-02T22:19:38.182+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",17.8,none,"['native_grass', 'wildflower']",24,Spring,6726a57a6d1e2366642e,2024-11-02T22:19:38.448+00:00,2024-11-02T22:19:38.448+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",48.8,spring,"['native_grass', 'wildflower']",8,Spring,6726a57aa758ab7ed1fb,2024-11-02T22:19:38.686+00:00,2024-11-02T22:19:38.686+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],14.8,none,['wildflower'],8,Spring,6726a57ae1b249263a6a,2024-11-02T22:19:38.926+00:00,2024-11-02T22:19:38.926+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],8.9,none,"['wildflower', 'native_grass']",4,Fall,6726a57b26cc2bacb521,2024-11-02T22:19:39.159+00:00,2024-11-02T22:19:39.159+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",33.4,river,['wildflower'],1,Fall,6726a57b644f5da8fbf0,2024-11-02T22:19:39.411+00:00,2024-11-02T22:19:39.411+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],6.9,spring,"['native_grass', 'wildflower']",1,Spring,6726a57ba2512db35020,2024-11-02T22:19:39.666+00:00,2024-11-02T22:19:39.666+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",28.2,river,['wildflower'],16,Fall,6726a57bd786d63a715d,2024-11-02T22:19:39.883+00:00,2024-11-02T22:19:39.883+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],26.8,none,['wildflower'],16,Fall,6726a57c190cbe3b6b19,2024-11-02T22:19:40.103+00:00,2024-11-02T22:19:40.103+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",19.2,none,['wildflower'],0,Fall,6726a57c5110baa4bbec,2024-11-02T22:19:40.332+00:00,2024-11-02T22:19:40.332+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",10.5,lake,['native_grass'],12,Fall,6726a57c88afdcdf600e,2024-11-02T22:19:40.560+00:00,2024-11-02T22:19:40.560+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],49.8,none,"['wildflower', 'native_grass']",12,Fall,6726a57cc4a5ddbe9631,2024-11-02T22:19:40.806+00:00,2024-11-02T22:19:40.806+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",22.2,spring,"['native_grass', 'wildflower']",22,Fall,6726a57d0a1b52765ad8,2024-11-02T22:19:41.042+00:00,2024-11-02T22:19:41.042+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],21.2,none,['native_grass'],19,Spring,6726a57d3fb4a5df518c,2024-11-02T22:19:41.261+00:00,2024-11-02T22:19:41.261+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",23.3,spring,"['native_grass', 'wildflower']",7,Spring,6726a57d77203ab2ba4f,2024-11-02T22:19:41.488+00:00,2024-11-02T22:19:41.488+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],32.1,river,"['wildflower', 'native_grass']",9,Fall,6726a57daf6e03a7ac5e,2024-11-02T22:19:41.719+00:00,2024-11-02T22:19:41.719+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],48.9,river,['native_grass'],20,Fall,6726a57de61111dab836,2024-11-02T22:19:41.942+00:00,2024-11-02T22:19:41.942+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],39.7,none,['wildflower'],22,Fall,6726a57e3003e623d5f4,2024-11-02T22:19:42.197+00:00,2024-11-02T22:19:42.197+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],18.9,spring,"['native_grass', 'wildflower']",19,Spring,6726a57ea48662972f9e,2024-11-02T22:19:42.674+00:00,2024-11-02T22:19:42.674+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],14.5,lake,['native_grass'],12,Fall,6726a57ed9df6ceb48aa,2024-11-02T22:19:42.893+00:00,2024-11-02T22:19:42.893+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",16.1,spring,"['native_grass', 'wildflower']",2,Spring,6726a57f1c20417bb7bc,2024-11-02T22:19:43.115+00:00,2024-11-02T22:19:43.115+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],47,river,['native_grass'],22,Fall,6726a57f5308bd039ffd,2024-11-02T22:19:43.340+00:00,2024-11-02T22:19:43.340+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",29.8,spring,"['native_grass', 'wildflower']",19,Fall,6726a57f914d82b843f8,2024-11-02T22:19:43.595+00:00,2024-11-02T22:19:43.595+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",30.8,river,"['native_grass', 'wildflower']",5,Fall,6726a58012008c239638,2024-11-02T22:19:44.074+00:00,2024-11-02T22:19:44.074+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",30.5,spring,['native_grass'],19,Fall,6726a5806b163a37feda,2024-11-02T22:19:44.439+00:00,2024-11-02T22:19:44.439+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",46,lake,"['wildflower', 'native_grass']",14,Fall,6726a580a781a2455dbf,2024-11-02T22:19:44.686+00:00,2024-11-02T22:19:44.686+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],46.5,spring,['native_grass'],6,Fall,6726a580e2cc342f7fbb,2024-11-02T22:19:44.929+00:00,2024-11-02T22:19:44.929+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",40.5,none,['wildflower'],11,Spring,6726a5814185d481f5fd,2024-11-02T22:19:45.269+00:00,2024-11-02T22:19:45.269+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",19.8,none,"['wildflower', 'native_grass']",14,Spring,6726a58182253f719acd,2024-11-02T22:19:45.533+00:00,2024-11-02T22:19:45.533+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],22.2,river,['native_grass'],10,Fall,6726a581bf67ee566b98,2024-11-02T22:19:45.784+00:00,2024-11-02T22:19:45.784+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",44.7,river,['native_grass'],21,Fall,6726a58205634630dbb7,2024-11-02T22:19:46.022+00:00,2024-11-02T22:19:46.022+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",32.7,lake,['wildflower'],1,Spring,6726a5823e591f2a8f36,2024-11-02T22:19:46.255+00:00,2024-11-02T22:19:46.255+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",28.5,lake,"['native_grass', 'wildflower']",7,Spring,6726a58278a3870bdbe6,2024-11-02T22:19:46.494+00:00,2024-11-02T22:19:46.494+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",27.3,lake,['wildflower'],16,Spring,6726a582b0847f01375d,2024-11-02T22:19:46.723+00:00,2024-11-02T22:19:46.723+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],29.8,lake,"['wildflower', 'native_grass']",9,Spring,6726a582e8d74a4c2aa2,2024-11-02T22:19:46.954+00:00,2024-11-02T22:19:46.954+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",17.6,lake,['native_grass'],6,Spring,6726a5832bc8c74ac11e,2024-11-02T22:19:47.179+00:00,2024-11-02T22:19:47.179+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",49.3,river,['wildflower'],4,Fall,6726a5836bbb513337e4,2024-11-02T22:19:47.441+00:00,2024-11-02T22:19:47.441+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],9,lake,['wildflower'],12,Spring,6726a583a0ab7385451d,2024-11-02T22:19:47.659+00:00,2024-11-02T22:19:47.659+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",34.8,none,['wildflower'],19,Fall,6726a583d83b5cc01b87,2024-11-02T22:19:47.886+00:00,2024-11-02T22:19:47.886+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],42,lake,['native_grass'],10,Fall,6726a5841c9cf3cd2b9a,2024-11-02T22:19:48.117+00:00,2024-11-02T22:19:48.117+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",31.8,spring,['native_grass'],6,Fall,6726a58455fff7174aaf,2024-11-02T22:19:48.353+00:00,2024-11-02T22:19:48.353+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",43.3,none,['wildflower'],22,Fall,6726a5848e39fdc5895a,2024-11-02T22:19:48.583+00:00,2024-11-02T22:19:48.583+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],23.3,none,"['wildflower', 'native_grass']",0,Fall,6726a584c5253b985a8e,2024-11-02T22:19:48.808+00:00,2024-11-02T22:19:48.808+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",5.2,spring,"['native_grass', 'wildflower']",11,Spring,6726a58508277da6ea3a,2024-11-02T22:19:49.033+00:00,2024-11-02T22:19:49.033+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",18.1,river,['wildflower'],13,Fall,6726a5854287b59e70ca,2024-11-02T22:19:49.273+00:00,2024-11-02T22:19:49.273+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",11.3,lake,"['wildflower', 'native_grass']",25,Spring,6726a82d1e60274c5391,2024-11-02T22:31:09.128+00:00,2024-11-02T22:31:09.128+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],46.7,spring,"['native_grass', 'wildflower']",5,Fall,6726a82da2c318257077,2024-11-02T22:31:09.672+00:00,2024-11-02T22:31:09.672+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],38.1,lake,"['wildflower', 'native_grass']",8,Spring,6726a82ded8b0b7f1ec3,2024-11-02T22:31:09.974+00:00,2024-11-02T22:31:09.974+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",12.5,spring,"['wildflower', 'native_grass']",22,Spring,6726a82e354a5e30f6b3,2024-11-02T22:31:10.222+00:00,2024-11-02T22:31:10.222+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",14.2,spring,['native_grass'],20,Spring,6726a82e724530989b85,2024-11-02T22:31:10.468+00:00,2024-11-02T22:31:10.468+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",21.6,river,['wildflower'],17,Fall,6726a82eb6f8f6d6dcd2,2024-11-02T22:31:10.752+00:00,2024-11-02T22:31:10.752+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],6.1,river,"['native_grass', 'wildflower']",10,Fall,6726a82ef192a25e9dd7,2024-11-02T22:31:10.990+00:00,2024-11-02T22:31:10.990+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",21.2,river,['native_grass'],10,Fall,6726a82f365ce4f7e241,2024-11-02T22:31:11.223+00:00,2024-11-02T22:31:11.223+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],47.4,lake,['wildflower'],22,Spring,6726a82f6e73246cc3b0,2024-11-02T22:31:11.452+00:00,2024-11-02T22:31:11.452+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],18.6,river,['native_grass'],25,Spring,6726a82fa5b2c0d7a368,2024-11-02T22:31:11.679+00:00,2024-11-02T22:31:11.679+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",10.8,lake,"['wildflower', 'native_grass']",1,Fall,6726a82fe160c4365dfa,2024-11-02T22:31:11.923+00:00,2024-11-02T22:31:11.923+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],16.5,spring,['wildflower'],14,Spring,6726a8302b009679cf93,2024-11-02T22:31:12.176+00:00,2024-11-02T22:31:12.176+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",8.7,spring,"['wildflower', 'native_grass']",10,Fall,6726a83063df80f06b72,2024-11-02T22:31:12.409+00:00,2024-11-02T22:31:12.409+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],48.9,none,"['wildflower', 'native_grass']",10,Fall,6726a8309c3b0064ae91,2024-11-02T22:31:12.640+00:00,2024-11-02T22:31:12.640+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],20.2,spring,['wildflower'],6,Spring,6726a830d8550f480fbc,2024-11-02T22:31:12.886+00:00,2024-11-02T22:31:12.886+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],29,spring,['native_grass'],15,Spring,6726a8311723f7dc01eb,2024-11-02T22:31:13.095+00:00,2024-11-02T22:31:13.095+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",31.5,spring,"['wildflower', 'native_grass']",25,Fall,6726a8318ed9316797e0,2024-11-02T22:31:13.585+00:00,2024-11-02T22:31:13.585+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",34.6,spring,"['wildflower', 'native_grass']",1,Fall,6726a831c6b9780e31cb,2024-11-02T22:31:13.814+00:00,2024-11-02T22:31:13.814+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",30.9,lake,['native_grass'],0,Fall,6726a8320b8ddc5d24d3,2024-11-02T22:31:14.047+00:00,2024-11-02T22:31:14.047+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['JG', 'P']",13.1,none,"['native_grass', 'wildflower']",0,Fall,6726a8324082acc889f9,2024-11-02T22:31:14.264+00:00,2024-11-02T22:31:14.264+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],24,river,['native_grass'],24,Fall,6726a8327aaaf4fd9816,2024-11-02T22:31:14.503+00:00,2024-11-02T22:31:14.503+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],26.6,none,"['wildflower', 'native_grass']",3,Spring,6726a832b8edf672ccd2,2024-11-02T22:31:14.758+00:00,2024-11-02T22:31:14.758+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],29.2,lake,"['wildflower', 'native_grass']",7,Spring,6726a832ed19f0806f48,2024-11-02T22:31:14.972+00:00,2024-11-02T22:31:14.972+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],18.1,spring,"['native_grass', 'wildflower']",11,Spring,6726a83371531cddea08,2024-11-02T22:31:15.464+00:00,2024-11-02T22:31:15.464+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],40.9,spring,"['wildflower', 'native_grass']",16,Spring,6726a833a48ddbc7200e,2024-11-02T22:31:15.674+00:00,2024-11-02T22:31:15.674+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
